area,subarea,zone,Valid?
240, ,0,
241, ,0,
242, ,0,
243, ,0,
244, ,0,
245, ,0,
246, ,0,
247, ,0,
248, ,0,
249, ,0,
250, ,0,
251, ,0,
252, ,0,
253, ,0,No
254, ,0,No
255, ,0,No
256, ,0,No
257, ,0,No
258, ,0,No
259, ,0,No
260, ,0,No
261, ,0,No
262, ,0,No
263, ,0,No
264, ,0,No
265, ,0,No
266, ,0,No
267, ,0,No
268, ,0,No
269, ,0,No
270, ,0,No
271, ,0,No
272, ,0,No
273, ,0,No
274, ,0,No
275, ,0,No
276, ,0,No
277, ,0,No
278, ,0,No
279, ,0,No
280, ,0,No
281, ,0,No
282, ,0,No
283, ,0,No
284, ,0,No
285, ,0,No
286, ,0,No
287, ,0,No
288, ,0,No
289, ,0,No
290, ,0,No
291, ,0,No
292, ,0,No
293, ,0,No
294, ,0,No
295, ,0,No
296, ,0,No
297, ,0,No
298, ,0,No
299, ,0,No
300, ,3,
301, ,3,
302, ,3,
303, ,3,
304, ,3,
305, ,3,
306, ,3,
307, ,3,
308, ,3,
309, ,3,
310, ,3,
311, ,3,
312, ,3,
313, ,3,
314, ,3,
315, ,0,No
316, ,0,No
317, ,0,No
318, ,0,No
319, ,0,(pond)
320, ,4,
321, ,4,
322, ,4,
323, ,4,
324, ,4,
325, ,4,
326, ,4,
327, ,4,
328, ,4,
329, ,4,No
330, ,4,No
331, ,6,
332, ,4,
333, ,4,
334, ,4,No
335, ,4,No
336, ,4,No
337, ,4,No
338, ,4,No
339, ,4,No
340, ,4,
341, ,4,
342, ,4,
343, ,4,
344, ,4,
345, ,4,
346, ,4,
347, ,4,
348, ,4,
349, ,4,
350, ,4,
351, ,4,
352, ,4,
353, ,4,
354, ,4,
355, ,4,
356, ,4,
357, ,4,
358, ,4,
359, ,4,
360, ,4,
361, ,4,
362, ,4,
363, ,4,
364, ,4,
365, ,4,
366, ,4,
367, ,4,
368, ,4,
369, ,4,
370, ,4,
371, ,4,
372, ,4,
373, ,4,
374, ,4,No
375, ,4,No
376, ,4,No
377, ,4,No
378, ,4,No
379, ,4,No
380, ,4,No
381, ,4,No
382, ,4,No
383, ,4,No
384, ,4,No
385, ,4,No
386, ,4,No
387, ,4,No
388, ,4,No
389, ,4,No
390, ,4,No
391, ,4,No
392, ,4,No
393, ,4,No
394, ,4,No
395, ,4,No
396, ,4,No
397, ,4,No
398, ,4,No
399, ,4,No
400, ,9,
401, ,9,
402, ,9,
403, ,9,
404, ,9,
405, ,9,
406, ,9,
407, ,9,
408, ,9,
409, ,9,
410, ,0,No
411, ,0,No
412, ,0,No
413, ,0,No
414, ,0,No
415, ,0,No
416, ,0,No
417, ,0,No
418, ,0,No
419, ,0,(pond)
420, ,10,
421, ,10,
422, ,10,
423, ,10,
424, ,10,
425, ,10,
426, ,10,
427, ,10,
428, ,10,
429, ,10,
430, ,10,No
431, ,10,No
432, ,10,No
433, ,10,No
434, ,10,No
435, ,10,No
436, ,10,No
437, ,10,No
438, ,10,No
439, ,10,No
440, ,10,
441, ,10,
442, ,10,
443, ,10,
444, ,10,
445, ,10,
446, ,10,
447, ,10,
448, ,10,
449, ,10,
450, ,10,
451, ,10,
452, ,10,
453, ,10,
454, ,10,
455, ,10,
456, ,10,
457, ,10,
458, ,10,
459, ,10,
460, ,10,
461, ,10,
462, ,10,
463, ,10,
464, ,10,
465, ,10,
466, ,10,
467, ,10,
468, ,10,
469, ,10,
470, ,10,
471, ,10,No
472, ,10,No
473, ,10,No
474, ,10,No
475, ,10,No
476, ,10,No
477, ,10,No
478, ,10,No
479, ,10,No
480, ,10,No
481, ,10,No
482, ,10,No
483, ,10,No
484, ,10,No
485, ,10,No
486, ,10,No
487, ,10,No
488, ,10,No
489, ,10,No
490, ,10,No
491, ,10,No
492, ,10,No
493, ,10,No
494, ,10,No
495, ,10,No
496, ,10,No
497, ,10,No
498, ,10,No
499, ,10,No
500, ,11,
501, ,11,
502, ,11,
503, ,11,
504, ,11,
505, ,11,
506, ,11,
507, ,11,No
508, ,12,
509, ,12,No
510, ,12,No
511, ,12,No
512, ,12,No
513, ,12,No
514, ,12,No
515, ,12,No
516, ,12,No
517, ,12,No
518, ,12,No
519, ,12,(pond)
520, ,12,
521, ,12,
522, ,12,
523, ,12,
524, ,12,
525, ,12,
526, ,12,
527, ,12,
528, ,12,
529, ,0,No
530, ,0,No
531, ,0,No
532, ,0,No
533, ,0,No
534, ,0,No
535, ,0,No
536, ,0,No
537, ,0,No
538, ,0,No
539, ,0,No
541, ,0,
542, ,0,
543, ,0,
544, ,0,
545, ,0,
546, ,0,
547, ,0,
548, ,0,
549, ,0,
550, ,0,
551, ,0,
552, ,0,
555, ,0,
556, ,0,
557, ,0,
558, ,0,
559, ,0,
560, ,0,
561, ,0,
562, ,0,
563, ,0,
564, ,0,
565, ,0,
566, ,0,
569, ,0,
570, ,0,
571, ,0,
572, ,0,
573, ,0,
574, ,0,
575, ,0,
578, ,14,
579, ,14,
580, ,0,
581, ,0,
582, ,0,
583, ,0,
584, ,0,
585, ,0,
586, ,0,
587, ,0,
588, ,0,
589, ,0,
590, ,0,
591, ,0,
592, ,0,
593, ,14,
594, ,14,
595, ,0,
596, ,0,
597, ,0,
598, ,0,
599, ,0,
640, ,0,
641, ,0,
642, ,0,
0, ,0,No
16123,I,0,
16123,F,0,
16123,C,0,
16020, ,0,No
16120, ,0,No
16023, ,0,No
16024, ,0,
16025, ,0,
16026, ,0,
